[00:00.12 → 00:00.32]  So
[00:00.86 → 00:01.84]  welcome back again.
[00:02.46 → 00:03.80]  Time for one more problem.
[00:04.44 → 00:07.00]  Now in this problem, we are given that the length of the train
[00:07.52 → 00:08.80]  is one hundred twenty meter.
[00:09.36 → 00:12.76]  The length of the platform is one hundred eighty meter,
[00:13.30 → 00:16.02]  and the speed of the train is fifteen meter
[00:16.48 → 00:16.98]  per second.
[00:17.74 → 00:18.48]  The question is
[00:19.06 → 00:21.12]  asking us to find the time taken by the train
[00:21.68 → 00:23.54]  to completely cross the platform.
[00:24.04 → 00:25.40]  Now, before using the formula,
[00:25.90 → 00:27.72]  let us understand one simple concept.
[00:28.26 → 00:29.72]  When a train crosses a platform,
[00:30.28 → 00:34.44]  it is not enough for just the engine to reach the end of the platform.
[00:34.82 → 00:37.56]  The whole train must come out of the platform.
[00:38.02 → 00:42.64]  So the train has to cover its own length and also the length of the platform.
[00:43.12 → 00:45.16]  This is a very important rule.
[00:45.52 → 00:52.92]  When a train crosses a platform, total distance covered is equal to length of train plus length of platform.
[00:53.34 → 00:55.04]  Now let us find that total distance.
[00:55.38 → 01:03.60]  Total distance is equal to one hundred twenty plus one hundred eighty. This gives us three hundred meters.
[01:04.08 → 01:10.32]  Now this part is completed. We already know the total distance, and the speed is also given. So now we can use the basic formula.
[01:10.98 → 01:13.58]  Time is equal to distance divided by speed.
[01:14.04 → 01:14.96]  Putting the values,
[01:15.30 → 01:19.06]  time is equal to three hundred divided by fifteen.
[01:19.42 → 01:22.10]  After simplifying this, we get twenty seconds.
[01:22.40 → 01:26.50]  So the train takes twenty seconds to completely cross the platform. Hence,
[01:26.82 → 01:28.94]  the correct answer is option A.
