[00:00.10 → 00:01.38]  So welcome back again.
[00:01.82 → 00:03.32]  Time for one more problem.
[00:03.76 → 00:07.76]  Now in this problem, we are given that a train is one hundred eighty meter long,
[00:08.24 → 00:10.62]  and it is running at fifty-four kilometer per hour.
[00:11.28 → 00:12.72]  The train crosses a pole.
[00:13.18 → 00:16.26]  The question is asking us to find how many seconds it takes.
[00:16.80 → 00:17.72]  Now before solving,
[00:18.16 → 00:19.92]  let us understand one
[00:20.26 → 00:21.40]  simple concept.
[00:21.92 → 00:23.68]  When a train crosses a pole,
[00:24.24 → 00:26.36]  the pole has almost no width to cover,
[00:26.98 → 00:29.60]  so the train only has to cover its own length.
[00:29.96 → 00:31.64]  Now let us write the given values.
[00:32.14 → 00:34.92]  Length of the train is one hundred eighty meter.
[00:35.56 → 00:38.32]  Speed of the train is fifty-four kilometer per hour.
[00:38.84 → 00:39.46]  So first,
[00:39.86 → 00:42.18]  we should convert the speed into meter per second.
[00:42.66 → 00:48.28]  We know that one kilometer per hour is equal to five by eighteen meters per second.
[00:48.72 → 00:54.72]  So fifty-four into five by eighteen gives us fifteen meters per second. Now this part is completed.
[00:55.14 → 00:57.24]  We already know the distance and the speed.
[00:57.68 → 00:59.00]  So let us use the formula.
[00:59.50 → 01:02.02]  Time is equal to distance divided by speed.
[01:02.60 → 01:07.02]  Putting the values, time is equal to one hundred eighty divided by fifteen.
[01:07.68 → 01:08.90]  After simplifying this,
[01:09.36 → 01:10.42]  we get twelve seconds.
[01:10.90 → 01:14.32]  So the train takes twelve seconds to cross the pole. Hence,
[01:14.74 → 01:16.88]  the correct answer is option C.
