[00:00.12 -> 00:00.26]  So
[00:00.72 -> 00:01.50]  welcome back again.
[00:01.86 -> 00:03.18]  Time for one more problem.
[00:03.68 -> 00:04.46]  Now in this problem,
[00:04.92 -> 00:07.88]  a person crosses an 800-meter-long street.
[00:08.40 -> 00:09.44]  The time taken is
[00:09.92 -> 00:11.84]  eight minutes and 20 seconds.
[00:12.36 -> 00:13.02]  The question is
[00:13.54 -> 00:16.30]  asking us to find his speed in kilometer per hour.
[00:16.94 -> 00:19.26]  So speed equal to distance divided by time,
[00:19.86 -> 00:21.52]  but distance is given in meter,
[00:22.10 -> 00:24.46]  and time is given in minutes and seconds.
[00:25.04 -> 00:25.70]  So first,
[00:26.18 -> 00:28.54]  we need to convert the time into seconds.
[00:29.14 -> 00:31.28]  Eight minutes means eight into 60,
[00:31.94 -> 00:33.44]  which is 480 seconds,
[00:34.00 -> 00:35.60]  and 20 seconds is already there.
[00:35.92 -> 00:39.20]  So total time becomes 480 plus 20 equal to
[00:39.58 -> 00:40.50]  500 seconds.
[00:41.08 -> 00:41.36]  Done.
[00:41.78 -> 00:43.70]  Now put the values in the speed formula.
[00:44.20 -> 00:48.78]  Speed equal to distance divided by time, which is 800 divided by 500.
[00:49.28 -> 00:50.34]  After simplifying this,
[00:50.66 -> 00:52.68]  we get 1.6 meter per second.
[00:53.12 -> 00:55.60]  But the question is asking in kilometer per hour,
[00:56.08 -> 01:02.14]  so we need to convert meter per second into kilometer per hour. For that, we multiply it by 3.6,
[01:02.46 -> 01:05.26]  so speed becomes 1.6 into 3.6,
[01:05.66 -> 01:08.08]  which is 5.76 kilometer per hour.
[01:08.46 -> 01:14.28]  Hence, the final answer will be 5.76 kilometer per hour, so the correct answer is option D.
