[00:00.10 -> 00:00.88]  So welcome back.
[00:01.48 -> 00:03.86]  I hope you have gone through the theory part for this topic.
[00:04.30 -> 00:05.92]  Now it's time to solve some problems.
[00:06.54 -> 00:07.26]  Now in this problem,
[00:07.72 -> 00:11.24]  a runner covers a distance of four hundred meter in four minutes.
[00:11.86 -> 00:12.72]  What do we need to find?
[00:13.26 -> 00:16.60]  We need to find the runner's speed in kilo meter per hour.
[00:17.14 -> 00:19.96]  Now we know that speed is equal to distance divided by time.
[00:20.42 -> 00:20.60]  Here,
[00:21.02 -> 00:24.08]  the distance is four hundred meter and the time is four minutes.
[00:24.58 -> 00:24.94]  First,
[00:25.44 -> 00:27.22]  let us convert four minutes into seconds.
[00:27.84 -> 00:28.88]  Four multiplied by sixty
[00:29.34 -> 00:30.98]  gives us two hundred forty seconds.
[00:31.48 -> 00:34.66]  So the time is two hundred forty seconds.
[00:35.20 -> 00:35.46]  Done.
[00:36.16 -> 00:37.74]  Now putting the values in the formula,
[00:38.32 -> 00:42.66]  speed is equal to four hundred divided by two hundred forty. After simplifying this,
[00:43.08 -> 00:44.96]  we get five by three meters per second.
[00:45.44 -> 00:48.84]  But the question is asking for kilometers per hour.
[00:49.34 -> 00:50.04]  Be careful here,
[00:50.38 -> 00:52.56]  we should not leave the answer in meters per second.
[00:52.98 -> 00:58.44]  To convert meter per second into kilometer per hour, we multiply by eighteen by five.
[00:58.92 -> 01:01.50]  So we multiply five by three with eighteen by five.
[01:01.90 -> 01:05.70]  The five gets canceled, and eighteen divided by three gives us six.
[01:06.12 -> 01:09.22]  Hence, the runner's speed is six kilometers per hour.
[01:09.70 -> 01:12.30]  So the final answer will be option C, six.
