[00:00.12 -> 00:00.30]  So
[00:00.92 -> 00:01.68]  welcome back again.
[00:02.22 -> 00:03.82]  It's time to solve one more problem.
[00:04.20 -> 00:07.08]  Now in this problem, a cube has an edge length of
[00:07.68 -> 00:08.58]  four centimeter,
[00:09.04 -> 00:10.48]  and we need to find its volume.
[00:11.02 -> 00:11.62]  What does
[00:12.04 -> 00:13.40]  volume actually mean?
[00:14.00 -> 00:17.40]  Imagine you have a small gift box shaped like a cube.
[00:17.88 -> 00:18.92]  The volume tells us
[00:19.36 -> 00:21.60]  how much space is available inside that box.
[00:22.08 -> 00:22.72]  In other words,
[00:23.32 -> 00:24.32]  how much it can hold.
[00:25.00 -> 00:26.80]  Here we are sure about one fact.
[00:27.34 -> 00:27.88]  In a cube,
[00:28.58 -> 00:30.36]  all the edges are exactly the same.
[00:30.94 -> 00:32.82]  So if one edge is four centimeter,
[00:33.40 -> 00:34.42]  the length is four,
[00:34.94 -> 00:36.22]  the breadth is four,
[00:36.62 -> 00:38.30]  and the height is also four.
[00:38.86 -> 00:40.90]  This is why the formula becomes very simple.
[00:41.46 -> 00:48.62]  Volume equal to side times side times side, or you can remember it as volume equal to side cube.
[00:49.00 -> 00:50.08]  Now let us put the value.
[00:50.64 -> 00:53.18]  Volume equal to four times four times four.
[00:53.62 -> 00:58.92]  First, four times four becomes 16, then 16 times four becomes 64.
[00:59.54 -> 01:01.74]  This means the cube can hold
[01:02.18 -> 01:04.82]  64 cubic centimeter of space.
[01:05.66 -> 01:10.54]  So the final answer will be 64 cubic centimeter, which is option C.
