[00:00.10 - 00:01.62]  So welcome back again.
[00:02.22 - 00:04.40]  It's time to solve one more problem.
[00:04.94 - 00:10.26]  In this problem, we have a building and a tower standing on the same level ground.
[00:10.70 - 00:12.38]  The building height is twenty meter.
[00:12.90 - 00:16.54]  From the foot of the building, the angle of elevation to the top of the tower
[00:17.18 - 00:18.72]  is sixty degrees,
[00:19.18 - 00:20.46]  and from the top of the building,
[00:20.80 - 00:23.50]  the angle of elevation to the top of the tower
[00:24.10 - 00:25.52]  is thirty degrees.
[00:26.08 - 00:26.70]  The question is
[00:27.24 - 00:29.40]  asking us to find the height of the tower.
[00:29.86 - 00:30.74]  To make things easy,
[00:31.20 - 00:32.66]  let the height of the tower be
[00:33.10 - 00:33.14]  h,
[00:33.60 - 00:36.18]  and let the distance between the building and tower be d.
[00:36.86 - 00:37.72]  What is the idea here?
[00:38.58 - 00:41.35]  Both angles are looking at the same top point of the tower,
[00:41.84 - 00:45.98]  so we can form two right-angled triangles and use ten values.
[00:46.76 - 00:47.03]  First,
[00:47.56 - 00:49.91]  let us use the sixty-degree angle. Here,
[00:50.47 - 00:52.34]  opposite side is the tower height h,
[00:52.92 - 00:54.36]  and adjacent side is d.
[00:54.90 - 01:00.06]  So ten-sixty degrees is equal to h upon d. We know ten-sixty degrees is equal to root three.
[01:00.56 - 01:00.92]  Hence,
[01:01.92 - 01:02.82]  h equal to root
[01:03.22 - 01:03.94]  three times
[01:04.42 - 01:04.62]  d.
[01:05.12 - 01:06.46]  Got it? Perfect.
[01:07.04 - 01:09.41]  Now look at the second angle, which is thirty degrees.
[01:10.06 - 01:12.08]  This time we are standing on top of the building.
[01:12.46 - 01:14.36]  The building is already twenty meter tall,
[01:14.94 - 01:20.10]  so we are not seeing the full tower height. We are only seeing the extra part above the building.
[01:20.68 - 01:25.78]  That extra height is h minus twenty. This is where many students make mistakes.
[01:26.30 - 01:27.34]  We should not take h here.
[01:27.88 - 01:29.52]  We should take h minus twenty.
[01:30.06 - 01:33.72]  So ten-thirty degrees equals h minus twenty
[01:34.30 - 01:34.80]  upon d,
[01:35.48 - 01:36.70]  and ten-thirty degrees
[01:37.16 - 01:39.26]  is equal to one by root three.
[01:39.90 - 01:40.22]  Hence,
[01:40.92 - 01:41.74]  h minus twenty
[01:42.38 - 01:44.53]  upon d equals one upon root three.
[01:45.08 - 01:46.71]  Now, from the first equation,
[01:47.26 - 01:47.88]  d equals
[01:48.50 - 01:49.78]  h over the square root of three.
[01:50.42 - 01:53.42]  Putting this value in the second equation and after solving this,
[01:54.08 - 01:55.26]  h minus twenty equals
[01:55.58 - 01:56.22]  h over three.
[01:56.78 - 01:57.65]  After simplifying,
[01:58.08 - 01:58.32]  three
[01:58.62 - 01:59.12]  h minus
[01:59.60 - 02:00.76]  sixty equals h.
[02:01.30 - 02:02.48]  Two h equals sixty.
[02:03.20 - 02:03.94]  H equals thirty.
[02:04.72 - 02:06.96]  So the height of the tower is thirty meters.
[02:07.48 - 02:07.82]  Hence,
[02:08.38 - 02:10.82]  the final answer will be option B.
