[00:00.10 -> 00:01.34]  So welcome back again.
[00:01.88 -> 00:02.80]  It's time to solve
[00:03.24 -> 00:04.20]  one more problem.
[00:04.72 -> 00:05.46]  Now, in this problem,
[00:06.04 -> 00:07.28]  two centimeter of rain
[00:07.74 -> 00:09.42]  falls on two hectares of land,
[00:09.98 -> 00:12.16]  and we need to find the volume of water collected.
[00:12.62 -> 00:14.20]  What does this mean in simple words?
[00:14.68 -> 00:18.70]  Just imagine a big field covered with a layer of water of height two centimeter.
[00:19.26 -> 00:21.66]  If we know the area of the field and the height of the water,
[00:22.12 -> 00:23.40]  we can easily find the volume.
[00:24.04 -> 00:29.76]  So first, let us convert the area. We know that one hectare equal to ten thousand square meter.
[00:30.22 -> 00:31.02]  So two hectares
[00:31.56 -> 00:33.62]  equal to twenty thousand square meter.
[00:34.26 -> 00:34.54]  Done.
[00:35.10 -> 00:35.32]  Now,
[00:35.86 -> 00:37.32]  let us convert the rainfall.
[00:37.90 -> 00:43.72]  The rainfall is two centimeter, and since one hundred centimeter is equal to one meter,
[00:44.40 -> 00:47.70]  two centimeter equal to zero point zero two meters.
[00:48.14 -> 00:48.38]  Okay,
[00:48.72 -> 00:50.86]  now both values are in the correct units.
[00:51.58 -> 00:54.90]  Now we have volume equal to area into height.
[00:55.34 -> 01:02.64]  So volume equal to twenty thousand into zero point zero two. After solving this, we get four hundred cubic meter.
[01:03.50 -> 01:04.78]  Done and dusted.
[01:05.22 -> 01:07.66]  So the final answer will be four hundred cubic meter.
[01:08.12 -> 01:08.48]  Hence,
[01:08.98 -> 01:10.38]  option B is the correct answer.
