[00:00.10 -> 00:01.40]  So welcome back again.
[00:01.94 -> 00:03.26]  Time for one more problem.
[00:03.80 -> 00:06.66]  Now, in this problem, we are given that the speed of a delivery van,
[00:07.22 -> 00:08.16]  excluding stops,
[00:08.66 -> 00:10.44]  is forty-five kilometer per hour.
[00:11.10 -> 00:14.68]  Its average speed, including stops, is thirty-six kilometer per hour.
[00:15.48 -> 00:17.88]  Also, the total journey time, including stops,
[00:18.36 -> 00:19.24]  is five hours.
[00:19.72 -> 00:23.38]  The question is asking us to find the total stoppage time. Now, first,
[00:23.72 -> 00:25.42]  let us find the total distance covered.
[00:25.90 -> 00:27.92]  Since the average speed, including stops,
[00:28.44 -> 00:30.28]  is thirty-six kilometer per hour,
[00:30.88 -> 00:34.46]  the total distance is equal to average speed into total time.
[00:35.00 -> 00:36.92]  That is equal to thirty-six into five.
[00:37.36 -> 00:39.30]  This gives us one hundred and eighty kilometer.
[00:39.84 -> 00:41.46]  Now that we know the total distance,
[00:41.98 -> 00:43.96]  let us find the actual moving time.
[00:44.58 -> 00:50.28]  Moving time is equal to total distance divided by the speed at which the van was moving without any stoppage.
[00:50.76 -> 00:53.18]  That is equal to one hundred and eighty divided by forty-five.
[00:53.68 -> 00:54.88]  This gives us four hours.
[00:55.28 -> 00:57.04]  Now we have both the values we need.
[00:57.50 -> 01:01.72]  The total journey took five hours, but the van was moving only for four hours.
[01:02.12 -> 01:08.22]  So the stoppage time is equal to total time minus moving time, which is five minus four. This gives us one hour,
[01:08.60 -> 01:11.22]  and one hour is equal to sixty minutes.
[01:11.80 -> 01:14.92]  So the total stoppage time is sixty minutes.
[01:15.56 -> 01:18.92]  Hence, the correct answer is option B.
