[00:00.12 -> 00:01.66]  So welcome back again.
[00:02.06 -> 00:03.28]  Time for one more problem.
[00:03.78 -> 00:04.50]  Now, in this problem,
[00:04.98 -> 00:07.10]  Sam travels the same distance in every case.
[00:07.48 -> 00:09.30]  If he travels at twenty kilometers per hour,
[00:09.70 -> 00:10.94]  he reaches at three PM.
[00:11.50 -> 00:13.28]  If he travels at thirty kilometers per hour,
[00:13.84 -> 00:19.58]  he reaches at one PM. We need to find the speed at which he will reach point B at exactly two PM.
[00:20.04 -> 00:21.96]  Let us take the distance as X kilometer.
[00:22.34 -> 00:25.04]  Now, let us understand the time difference between the first two cases.
[00:25.52 -> 00:26.90]  From one PM to three PM,
[00:27.32 -> 00:28.92]  the difference is exactly two
[00:29.26 -> 00:29.70]  hours.
[00:30.34 -> 00:35.29]  This means the slower journey takes two hours more than the faster journey. We know the basic formula,
[00:35.74 -> 00:38.04]  time is equal to distance divided by speed.
[00:38.52 -> 00:40.28]  For the slower journey, the speed is twenty,
[00:40.88 -> 00:44.14]  so the time taken will be X divided by twenty.
[00:44.78 -> 00:47.24]  For the faster journey, the speed is thirty,
[00:47.78 -> 00:56.42]  so the time taken will be X divided by thirty. Now, more time minus less time is equal to the time difference.
[00:56.90 -> 00:58.34]  So we write the equation carefully.
[00:59.06 -> 01:00.21]  X divided by twenty,
[01:00.90 -> 01:01.44]  minus
[01:02.02 -> 01:04.22]  X divided by thirty is equal to two.
[01:04.72 -> 01:05.10]  Got it?
[01:05.44 -> 01:05.74]  Perfect.
[01:06.42 -> 01:10.57]  Now let us solve this equation quickly. The denominators are twenty and thirty,
[01:11.06 -> 01:12.85]  and the LCM is simply sixty.
[01:13.50 -> 01:16.27]  To get a common base of sixty, the first part becomes three
[01:16.68 -> 01:16.70]  X
[01:17.20 -> 01:18.92]  and the second part becomes two X.
[01:19.39 -> 01:27.52]  So the equation becomes three X minus two X, whole divided by sixty is equal to two. We know that three X minus two X is just X,
[01:28.06 -> 01:29.70]  so we have X divided by sixty
[01:30.28 -> 01:31.02]  is equal to two.
[01:31.40 -> 01:40.10]  Finally, we shift sixty to the right side. We get X is equal to two multiplied by sixty. This gives us X equal to one hundred twenty kilometers.
[01:40.59 -> 01:46.34]  So the distance from the starting point to point B is exactly one hundred twenty kilometers.
[01:46.82 -> 01:47.72]  Now this part is done.
[01:48.32 -> 01:48.74]  Next,
[01:49.14 -> 01:51.50]  let us find the starting time using the first case.
[01:52.04 -> 01:53.56]  At twenty kilometers per hour,
[01:54.04 -> 01:55.22]  the time taken to travel
[01:55.72 -> 01:57.08]  one hundred twenty kilometers
[01:57.60 -> 01:59.64]  is one hundred twenty divided by twenty.
[02:00.23 -> 02:01.50]  This gives us six hours.
[02:02.14 -> 02:03.58]  If he travels for six hours
[02:04.08 -> 02:05.22]  and reaches at three PM,
[02:05.74 -> 02:07.94]  it means he started six hours before three PM.
[02:08.64 -> 02:11.86]  Counting six hours backward from three PM gives us nine AM.
[02:12.42 -> 02:15.04]  So Sam starts his journey at nine AM every day.
[02:15.40 -> 02:15.60]  Done.
[02:16.12 -> 02:24.34]  Now he wants to reach at two PM. How much time does he have? From nine AM to two PM is exactly five hours. We have the distance as one hundred twenty kilometers
[02:24.76 -> 02:25.86]  and the time as five hours.
[02:26.45 -> 02:27.96]  So the required speed is simply
[02:28.52 -> 02:30.08]  distance divided by time,
[02:30.64 -> 02:31.03]  which is
[02:31.54 -> 02:33.12]  one hundred twenty divided by five.
[02:33.54 -> 02:35.28]  This gives us twenty-four kilometers per hour.
[02:35.82 -> 02:36.18]  Hence,
[02:36.70 -> 02:39.26]  Sam must travel at twenty-four kilometers per hour
[02:39.72 -> 02:40.86]  to reach at two PM.
[02:41.44 -> 02:43.58]  So the final answer will be option C,
[02:44.30 -> 02:45.67]  twenty-four kilometers per hour.
