[00:00.10 -> 00:01.36]  So welcome back
[00:01.70 -> 00:01.96]  again.
[00:02.42 -> 00:02.92]  Time for
[00:03.56 -> 00:04.50]  one more problem.
[00:05.10 -> 00:05.92]  Now in this problem,
[00:06.38 -> 00:08.72]  a boy walks at eight kilometers per hour.
[00:09.30 -> 00:12.52]  If he walks at 12 kilometers per hour for the same time,
[00:12.92 -> 00:15.02]  he can walk 16 kilometers more.
[00:15.54 -> 00:18.42]  The question is asking us to find the actual distance
[00:18.88 -> 00:20.74]  traveled at eight kilometers per hour.
[00:21.36 -> 00:24.14]  Let us take the actual distance as X kilometers.
[00:24.68 -> 00:28.10]  Then the distance at the higher speed will be X plus 16 kilometers.
[00:28.58 -> 00:29.96]  Here we are sure about one fact,
[00:30.46 -> 00:32.24]  the time is the same in both cases.
[00:32.80 -> 00:35.70]  We know that time is equal to distance divided by speed.
[00:36.26 -> 00:38.18]  So the time in the first case is
[00:38.50 -> 00:39.54]  X divided by eight.
[00:39.96 -> 00:43.76]  The time in the second case is X plus 16 divided by 12.
[00:44.28 -> 00:45.58]  Since both times are equal,
[00:45.92 -> 00:50.16]  we get X divided by eight equal to X plus 16 divided by 12.
[00:50.52 -> 00:50.90]  Got it?
[00:51.40 -> 00:51.76]  Perfect.
[00:52.18 -> 00:53.24]  Now we cross-multiply.
[00:53.64 -> 01:00.56]  We get 12x equal to eight multiplied by X plus 16. After opening the bracket, we get 12x equal to
[01:00.86 -> 01:02.52]  8x plus 128.
[01:02.96 -> 01:04.42]  After simplifying this,
[01:04.72 -> 01:06.86]  4x is equal to 128.
[01:07.42 -> 01:08.42]  So X is equal to
[01:08.74 -> 01:09.12]  32.
[01:09.62 -> 01:09.96]  Hence,
[01:10.46 -> 01:12.42]  the actual distance traveled is
[01:12.78 -> 01:13.74]  32 kilometers.
[01:14.24 -> 01:18.78]  So the final answer will be option D, 32 kilometers
