[00:00.10 → 00:01.02]  So welcome back again.
[00:01.76 → 00:02.92]  Time for one more problem.
[00:03.48 → 00:04.26]  Now in this problem,
[00:04.74 → 00:08.44]  we are given that a car is traveling at sixty kilometer per hour.
[00:09.02 → 00:09.72]  At this speed,
[00:10.10 → 00:12.28]  it covers the journey in two point five hours.
[00:12.84 → 00:14.48]  The question is asking us to find
[00:14.96 → 00:16.90]  by how much the speed should increase
[00:17.40 → 00:21.10]  so that the same journey is completed in one point five hours.
[00:21.56 → 00:22.12]  Now, first,
[00:22.54 → 00:24.38]  let us find the total distance.
[00:24.76 → 00:25.56]  We know the formula,
[00:26.06 → 00:29.84]  distance is equal to original speed into original time.
[00:30.44 → 00:31.40]  Putting the values,
[00:31.98 → 00:34.44]  distance is equal to sixty into two point five.
[00:34.90 → 00:37.06]  This gives us one hundred fifty kilometer.
[00:37.54 → 00:38.98]  Now be very sure about one thing.
[00:39.42 → 00:40.34]  The journey is the same,
[00:40.78 → 00:42.26]  so the distance does not change.
[00:42.74 → 00:45.98]  That means the new distance is also one hundred fifty kilometer.
[00:46.42 → 00:47.52]  Now, we know the formula,
[00:48.02 → 00:51.16]  new speed is equal to new distance divided by new time.
[00:51.62 → 00:52.58]  Putting the values,
[00:53.00 → 00:54.92]  new speed is equal to one hundred fifty
[00:55.44 → 00:57.24]  divided by one point five.
[00:57.62 → 01:00.76]  This gives us one hundred kilometer per hour.
[01:01.42 → 01:02.54]  Now be very careful here.
[01:03.04 → 01:07.12]  The question is not asking us to find the new speed.
[01:07.88 → 01:10.48]  It is asking us to find the increase in speed.
[01:11.04 → 01:15.54]  So increase in speed is equal to new speed minus original speed.
[01:16.18 → 01:17.26]  Putting the values,
[01:17.80 → 01:22.38]  increase in speed is equal to one hundred minus sixty.
[01:22.94 → 01:29.94]  This gives us forty kilometers per hour. So the required increase in speed is forty kilometers per hour.
[01:30.54 → 01:30.94]  Hence,
[01:31.48 → 01:34.40]  the correct answer is option D.
