[00:00.08 -> 00:00.82]  So welcome back.
[00:01.38 -> 00:03.74]  I hope you have gone through the theory part for this topic.
[00:04.14 -> 00:05.82]  Now it's time to solve some problems.
[00:06.36 -> 00:10.94]  In this problem, we are given the area of a square as one hundred forty-four square centimeter,
[00:11.46 -> 00:12.90]  and we need to find its perimeter.
[00:13.40 -> 00:13.58]  Now,
[00:14.06 -> 00:15.44]  what does perimeter mean?
[00:15.96 -> 00:19.96]  It is simply the total length of all four sides of the square.
[00:20.48 -> 00:24.52]  So to find the perimeter, we first need to find the length of one side.
[00:24.96 -> 00:25.46]  Correct?
[00:26.12 -> 00:29.40]  We know that area of a square equal to side square,
[00:29.90 -> 00:33.44]  and the area is given as one hundred forty-four.
[00:34.00 -> 00:36.22]  So side square equal to one hundred
[00:36.68 -> 00:37.32]  forty-four.
[00:37.64 -> 00:39.14]  Now ask yourself a simple question:
[00:39.66 -> 00:41.94]  Which number, when multiplied by itself,
[00:42.34 -> 00:45.08]  gives one hundred forty-four? It is twelve,
[00:45.52 -> 00:49.74]  because twelve times twelve equal to one hundred forty-four.
[00:50.24 -> 00:53.88]  So the side of the square is twelve centimeter.
[00:54.76 -> 00:56.06]  Got it? Perfect.
[00:56.72 -> 01:00.24]  Now that we have the side, finding the perimeter is very easy.
[01:00.88 -> 01:19.28]  Perimeter of a square equal to four times side. Why four? Because a square has four equal sides. So perimeter equal to four times twelve, which gives us forty-eight centimeter. Done and dusted. So the final answer will be forty-eight centimeter. Hence, option C is the correct answer
