[00:00.10 -> 00:01.64]  So welcome back again.
[00:02.28 -> 00:03.40]  Time for one more problem.
[00:03.86 -> 00:04.58]  Now, in this problem,
[00:05.16 -> 00:05.88]  we are given that
[00:06.40 -> 00:08.28]  the length of the train is
[00:08.96 -> 00:10.60]  one hundred fifty meter.
[00:11.16 -> 00:12.92]  The train crosses a pole in ten seconds.
[00:13.30 -> 00:16.72]  The question is asking us to find the speed of the train in kilometer per hour.
[00:17.22 -> 00:19.98]  And before solving, let us understand one simple concept.
[00:20.50 -> 00:22.08]  When a train crosses a pole,
[00:22.58 -> 00:26.32]  it covers only its own length because a pole has no width.
[00:26.84 -> 00:29.48]  So the distance covered is simply the length of the train.
[00:29.78 -> 00:30.14]  Got it?
[00:30.54 -> 00:30.92]  Perfect.
[00:31.32 -> 00:32.86]  Now let us note down the values.
[00:33.24 -> 00:35.80]  Distance covered is one hundred fifty meter.
[00:36.42 -> 00:37.76]  Time taken is ten seconds.
[00:38.18 -> 00:39.26]  We know the basic formula.
[00:39.82 -> 00:42.04]  Speed is equal to distance divided by time.
[00:42.58 -> 00:43.46]  Putting the values,
[00:43.92 -> 00:46.50]  speed is equal to one hundred fifty divided by ten.
[00:46.82 -> 00:50.02]  This gives us fifteen meter per second. Now be very careful here.
[00:50.40 -> 00:53.30]  The question is asking for the speed in kilometer per hour,
[00:53.70 -> 00:57.34]  but our answer is in meter per second. So we must convert the units.
[00:57.70 -> 01:02.22]  We know that one meter per second is equal to three point six
[01:02.78 -> 01:04.50]  kilometer per hour.
[01:05.06 -> 01:12.72]  So fifteen into three point six gives us fifty-four kilometer per hour. So the speed of the train is fifty-four kilometer per hour.
[01:13.20 -> 01:15.80]  Hence the correct answer is option C.
