[00:00.12 -> 00:00.26]  So,
[00:00.74 -> 00:01.56]  welcome back again.
[00:02.26 -> 00:04.14]  It's time to solve one more problem.
[00:04.62 -> 00:07.68]  Now, in this problem, the boat's still water speed is
[00:08.10 -> 00:09.40]  ten kilometers per hour.
[00:09.96 -> 00:11.80]  The stream speed is two kilometers per hour,
[00:12.44 -> 00:17.14]  and the distance for both upstream and downstream journeys is twenty-four kilometer.
[00:17.70 -> 00:22.86]  The question is asking us to find how much more time the upstream journey takes than the downstream journey.
[00:23.46 -> 00:25.56]  Let us first recall the basic formulas.
[00:26.04 -> 00:28.44]  When the boat moves against the stream,
[00:28.86 -> 00:30.18]  the stream slows it down.
[00:30.74 -> 00:36.00]  So upstream speed equals boat speed minus stream speed equals ten minus two
[00:36.60 -> 00:38.22]  equals eight kilometers per hour.
[00:38.70 -> 00:40.78]  When the boat moves with the stream,
[00:41.16 -> 00:43.00]  the stream helps it move faster.
[00:43.46 -> 00:50.14]  So downstream speed equals boat speed plus stream speed equals ten plus two equals twelve kilometers per hour.
[00:50.76 -> 00:51.04]  Done.
[00:51.76 -> 00:54.40]  Now we know both speeds, so finding the time becomes easy.
[00:54.86 -> 00:58.48]  We use the formula time equals distance divided by speed.
[00:59.14 -> 01:07.46]  Upstream time equals twenty-four divided by eight equals three hours, and downstream time equals twenty-four divided by twelve equals two hours.
[01:07.92 -> 01:10.22]  Now, the question is not asking for the individual times.
[01:10.62 -> 01:13.80]  It is asking how much more time the upstream journey takes.
[01:14.14 -> 01:16.64]  So difference equals three minus two equals one hour.
[01:17.38 -> 01:21.48]  Hence, the required answer is one hour. So the correct answer is option A.
