[00:00.10 -> 00:01.42]  So welcome back again.
[00:01.82 -> 00:03.16]  Time for one more problem.
[00:03.68 -> 00:05.16]  Now in this problem, we are given that
[00:05.60 -> 00:08.16]  two cyclists are moving in the same direction.
[00:08.62 -> 00:11.58]  The speed of the slower cyclist is eighteen kilometer per hour.
[00:12.16 -> 00:13.02]  After three hours,
[00:13.42 -> 00:16.28]  the faster cyclist is twenty-seven kilometer ahead.
[00:16.86 -> 00:20.26]  The question is asking us to find the speed of the faster cyclist.
[00:20.68 -> 00:23.90]  Now let the speed of the faster cyclist be x kilometer per hour.
[00:24.52 -> 00:24.82]  First,
[00:25.18 -> 00:28.42]  let us find how much distance each cyclist covers in three hours.
[00:28.94 -> 00:29.84]  We know the formula,
[00:30.42 -> 00:32.52]  distance is equal to speed into time.
[00:33.18 -> 00:36.12]  The slower cyclist covers eighteen into three,
[00:36.58 -> 00:39.34]  which is fifty-four kilometers in three hours.
[00:39.84 -> 00:41.66]  The faster cyclist covers
[00:42.04 -> 00:46.64]  x into three, which is three x kilometers in three hours.
[00:47.12 -> 00:49.04]  Now let us understand the given condition.
[00:49.64 -> 00:50.70]  After three hours,
[00:51.08 -> 01:01.24]  the faster cyclist is twenty-seven kilometer ahead. This simply means that the faster cyclist has covered twenty-seven kilometer more than the slower cyclist.
[01:01.64 -> 01:09.06]  So distance covered by the faster cyclist minus distance covered by the slower cyclist is equal to twenty-seven.
[01:09.52 -> 01:21.88]  That gives us three x minus fifty-four is equal to twenty-seven. After solving this, x is equal to twenty-seven kilometer per hour, so the speed of the faster cyclist is twenty-seven
[01:22.58 -> 01:26.26]  kilometer per hour. Hence, the correct answer is option C.
