[00:00.14 → 00:00.30]  So
[00:00.74 → 00:01.56]  welcome back again.
[00:01.88 → 00:03.32]  Time for one more problem.
[00:03.74 → 00:05.46]  Now in this problem, we are given that
[00:05.92 → 00:08.50]  a tour bus covers one hundred fifty kilometer
[00:09.02 → 00:11.44]  at a speed of seventy-five kilometer per hour.
[00:11.98 → 00:13.50]  Then it halts for thirty minutes.
[00:13.90 → 00:14.44]  After that,
[00:14.78 → 00:17.16]  it returns the same one hundred and fifty kilometer
[00:17.54 → 00:20.06]  at a speed of fifty kilometer per hour.
[00:20.56 → 00:23.86]  The question is asking us to find the average speed, including the halt.
[00:24.34 → 00:25.16]  So we know the formula,
[00:25.66 → 00:29.10]  average speed is equal to total distance divided by total time.
[00:29.42 → 00:30.06]  So first,
[00:30.44 → 00:31.98]  let us find the total distance.
[00:32.38 → 00:34.78]  The bus travels one hundred fifty kilometer
[00:35.20 → 00:39.62]  in the onward journey and another one hundred fifty kilometer while returning.
[00:40.02 → 00:47.68]  So total distance is equal to one hundred fifty plus one hundred fifty. That gives us three hundred kilometers. Now let us find the total time.
[00:48.14 → 00:51.58]  We know time is equal to distance divided by speed.
[00:52.08 → 00:54.52]  For the onward journey, time is equal to one hundred fifty
[00:55.02 → 00:56.34]  divided by seventy-five.
[00:56.90 → 01:00.64]  This gives us two hours. Now let us find the time for the return journey.
[01:01.28 → 01:06.20]  Time is equal to one hundred fifty divided by fifty. This gives us three hours.
[01:06.64 → 01:11.86]  We are also given that the bus halts for thirty minutes. Thirty minutes means zero point five hour.
[01:12.18 → 01:13.58]  Now we have all the time values.
[01:13.98 → 01:15.36]  So total time is equal to two
[01:15.94 → 01:20.76]  plus three plus zero point five. That gives us five point five hours.
[01:21.16 → 01:22.36]  Now we have everything we need.
[01:22.84 → 01:26.10]  Average speed is equal to total distance divided by total time.
[01:26.62 → 01:37.42]  Putting the values, average speed is equal to three hundred divided by five point five. After simplifying this, we get six hundred by eleven, which is equal to fifty-four and six by eleven kilometer
[01:38.14 → 01:47.96]  per hour. So the average speed of the bus, including the halt, is fifty-four and six by eleven kilometer per hour. Hence, the correct answer is option D.
