[00:00.10 -> 00:00.26]  So
[00:00.74 -> 00:01.50]  welcome back again.
[00:02.10 -> 00:03.20]  Time for one more problem.
[00:03.78 -> 00:04.52]  Now in this problem,
[00:05.00 -> 00:08.82]  an aircraft has to travel a total distance of four hundred kilometers.
[00:09.36 -> 00:11.48]  During the journey, the aircraft is slowed down.
[00:12.02 -> 00:12.63]  Because of this,
[00:13.18 -> 00:15.96]  its speed becomes one hundred kilometers per hour less,
[00:16.78 -> 00:18.54]  and the journey takes two extra hours.
[00:18.92 -> 00:19.64]  The question is
[00:20.12 -> 00:22.46]  asking us to find the actual duration of the flight.
[00:23.08 -> 00:25.68]  Let us take the actual duration as t hours.
[00:26.34 -> 00:26.98]  Now, we know that
[00:27.52 -> 00:34.72]  speed is equal to distance divided by time. The actual distance is four hundred kilometer and the actual time is two hours,
[00:35.26 -> 00:37.46]  so the actual speed is four hundred divided by t.
[00:38.20 -> 00:39.50]  After the aircraft slows down,
[00:40.06 -> 00:42.28]  the same distance takes two extra hours.
[00:42.88 -> 00:43.82]  The actual time is t,
[00:44.56 -> 00:45.61]  so the new time becomes
[00:45.96 -> 00:47.02]  t plus two hours.
[00:47.62 -> 00:49.82]  The distance is still four hundred kilometer,
[00:50.56 -> 00:53.20]  so the new speed is four hundred divided by t plus two.
[00:53.78 -> 00:55.30]  Now let us connect the two speeds.
[00:55.96 -> 00:58.53]  The aircraft has slowed down by one hundred kilometers per hour.
[00:59.16 -> 01:02.00]  This means the actual speed is one hundred more than the new speed.
[01:02.52 -> 01:03.45]  So the actual speed
[01:03.88 -> 01:08.16]  minus the new speed is equal to one hundred. Replacing both speeds,
[01:08.60 -> 01:10.10]  we get four hundred divided by t,
[01:10.72 -> 01:12.82]  minus four hundred divided by t plus two,
[01:13.54 -> 01:17.76]  equal to one hundred. Now dividing the complete equation by one hundred,
[01:18.36 -> 01:19.72]  we get four divided by t,
[01:20.32 -> 01:22.16]  minus four divided by t plus two
[01:22.84 -> 01:23.44]  equal to one.
[01:24.06 -> 01:25.94]  Taking the LCM and simplifying,
[01:26.56 -> 01:28.10]  we get eight divided by t,
[01:28.62 -> 01:29.80]  multiplied by t plus two
[01:30.48 -> 01:31.18]  equal to one.
[01:31.96 -> 01:33.03]  After cross multiplying,
[01:33.56 -> 01:35.02]  t multiplied by t plus two
[01:35.78 -> 01:36.91]  is equal to eight.
[01:37.45 -> 01:38.38]  Opening the bracket,
[01:38.80 -> 01:39.73]  we get t squared
[01:40.16 -> 01:42.10]  plus two t equals eight.
[01:42.76 -> 01:44.07]  Bringing everything to one side,
[01:44.58 -> 01:47.42]  we get the square plus two t minus eight equals zero.
[01:47.98 -> 01:50.00]  Now factorizing this, we get t plus four
[01:50.54 -> 01:51.84]  multiplied by t minus two
[01:52.22 -> 01:52.94]  equal to zero,
[01:53.48 -> 01:55.24]  so t can be minus four or two.
[01:55.82 -> 01:57.82]  Can the flight duration be minus four hours?
[01:58.40 -> 01:58.58]  No.
[01:59.16 -> 02:00.22]  Time cannot be negative.
[02:00.82 -> 02:01.30]  Therefore,
[02:01.82 -> 02:03.54]  t is equal to two hours.
[02:04.10 -> 02:04.46]  Remember,
[02:05.04 -> 02:07.92]  t represents the actual duration of the flight.
[02:08.36 -> 02:08.70]  Hence,
[02:09.02 -> 02:10.78]  the actual duration of the flight is
[02:11.36 -> 02:12.08]  two hours.
[02:12.60 -> 02:15.16]  So the final answer will be option A,
[02:15.80 -> 02:16.46]  two hours
