[00:00.12 -> 00:00.30]  So
[00:00.66 -> 00:01.40]  welcome back again.
[00:01.82 -> 00:06.94]  Time for one more problem. Now, in this problem, a cyclist crosses a bridge which is one thousand five hundred meter long.
[00:07.46 -> 00:09.96]  The cyclist takes twelve point five minutes to cross it.
[00:10.36 -> 00:12.44]  The question is asking us to find the cyclist
[00:12.76 -> 00:14.20]  speed in kilometers per hour.
[00:14.72 -> 00:15.78]  But be careful here,
[00:16.36 -> 00:20.12]  the distance is given in meter and the time is given in minutes.
[00:20.46 -> 00:20.98]  So first,
[00:21.44 -> 00:26.32]  we will find the speed in meter per second and then convert it into kilometers per hour.
[00:26.96 -> 00:29.06]  One minute is equal to sixty seconds,
[00:29.58 -> 00:32.92]  so twelve point five minutes will be twelve point five multiplied by sixty,
[00:33.34 -> 00:35.10]  which is seven hundred fifty seconds.
[00:35.40 -> 00:37.62]  Now let us put the values in the speed formula.
[00:37.98 -> 00:40.28]  Speed is equal to distance divided by time.
[00:40.88 -> 00:44.24]  So speed is equal to one thousand five hundred
[00:44.80 -> 00:46.66]  divided by seven hundred fifty.
[00:47.20 -> 00:48.38]  After simplifying this,
[00:48.80 -> 00:50.28]  we get two meters per second.
[00:50.80 -> 00:56.34]  Now that we have found the speed in meters per second, we need to convert it into kilometers per hour.
[00:56.76 -> 01:18.76]  To convert meter per second into kilometers per hour, we multiply by eighteen divided by five. So we get two multiplied by eighteen divided by five. After simplifying this, we get seven point two kilometers per hour. Hence, the cyclist speed is seven point two kilometers per hour. So the final answer will be option B,
[01:19.34 -> 01:21.24]  seven point two kilometers per hour.
