[00:00.12 to 00:00.26]  So
[00:00.72 to 00:01.54]  welcome back again.
[00:02.26 to 00:03.40]  It's time to solve
[00:04.08 to 00:05.04]  one more problem.
[00:05.64 to 00:06.46]  Now in this problem,
[00:07.06 to 00:07.90]  we are given that
[00:08.42 to 00:10.02]  the length of the train is
[00:10.62 to 00:11.80]  two hundred fifty meters.
[00:12.20 to 00:14.64]  The length of the platform is three hundred fifty meters,
[00:15.28 to 00:16.40]  and the speed of the train
[00:16.94 to 00:18.76]  is seventy-two kilometers per hour.
[00:19.28 to 00:24.58]  The question is asking us to find how much time the train will take to completely cross the platform.
[00:25.06 to 00:26.34]  Now the important point here is
[00:26.68 to 00:28.44]  completely cross the platform.
[00:28.86 to 00:29.70]  What does this mean?
[00:30.28 to 00:33.88]  It means the train has to cover its own length as well as the platform length.
[00:34.38 to 00:37.72]  So the total distance will be two hundred fifty plus three hundred fifty,
[00:38.20 to 00:39.46]  which is six hundred meter.
[00:40.08 to 00:41.28]  Now that we have the distance,
[00:41.62 to 00:44.24]  we only need the speed in meters per second.
[00:44.72 to 00:47.84]  We know that seventy-two multiplied by five upon eighteen
[00:48.34 to 00:52.60]  gives us twenty meters per second. Done. Now we have both the values we need.
[00:53.10 to 00:55.54]  Time is equal to distance divided by speed.
[00:55.96 to 01:03.42]  Putting the values in the formula, we get six hundred divided by twenty. After solving this, the time comes out to be thirty seconds.
[01:04.28 to 01:10.84]  So the final answer will be thirty seconds. Hence, the correct option is option B.
