[00:00.10 to 00:01.58]  So welcome back again.
[00:02.06 to 00:03.12]  Time for one more problem.
[00:03.70 to 00:06.32]  Now in this problem, we are given that the speed of a train
[00:06.84 to 00:08.36]  is twenty-five meter per second.
[00:08.84 to 00:09.58]  The question is
[00:10.08 to 00:12.60]  asking us to find its speed in kilometer per hour.
[00:13.18 to 00:14.02]  Now, before solving,
[00:14.42 to 00:16.48]  let us remember one simple conversion.
[00:17.04 to 00:20.90]  One meter per second is equal to eighteen by five kilometers per hour.
[00:21.28 to 00:23.04]  This is a direct conversion, so
[00:23.48 to 00:26.26]  we simply multiply the given speed by eighteen by five.
[00:26.58 to 00:27.92]  Now, let us put the values.
[00:28.36 to 00:32.72]  Speed in kilometer per hour is equal to twenty-five into eighteen by five.
[00:33.20 to 00:36.98]  Since twenty-five is divisible by five, we get five into eighteen.
[00:37.44 to 00:40.10]  After simplifying this, we get ninety kilometer per hour.
[00:40.68 to 00:44.92]  Done and dusted. So the speed of the train is ninety kilometer per hour.
[00:45.34 to 00:47.70]  Hence, the correct answer is option A.
