[00:00.10 -> 00:00.92]  So welcome back again.
[00:01.36 -> 00:02.48]  Time for one more problem.
[00:03.02 -> 00:05.32]  Now, in this problem, we are given that a train runs
[00:05.68 -> 00:07.42]  at seventy-two kilometer per hour
[00:07.94 -> 00:10.06]  when stoppages are not included.
[00:10.58 -> 00:14.16]  But when stoppages are included, the speed becomes fifty-four kilometer per hour.
[00:14.82 -> 00:16.60]  The question is asking us to find,
[00:17.04 -> 00:19.44]  for how many minutes the train stops per hour?
[00:19.86 -> 00:21.42]  Now, let us understand what this means.
[00:21.90 -> 00:27.08]  When stoppages are not included, the train is actually moving at seventy-two kilometer per hour.
[00:27.52 -> 00:32.00]  But when stoppages are included, the effective speed becomes fifty-four kilometer per hour.
[00:32.48 -> 00:33.30]  So in one hour,
[00:33.74 -> 00:35.54]  instead of covering seventy-two kilometer,
[00:35.92 -> 00:38.92]  the train effectively covers only fifty-four kilometer.
[00:39.34 -> 00:41.96]  This difference happens because the train stops for some time.
[00:42.30 -> 00:42.66]  Got it?
[00:43.22 -> 00:43.62]  Perfect.
[00:44.24 -> 00:44.90]  Now in one hour,
[00:45.38 -> 00:47.08]  at seventy-two kilometer per hour,
[00:47.60 -> 00:49.84]  the train could have covered seventy-two kilometer.
[00:50.26 -> 00:51.38]  But because of stoppages,
[00:51.90 -> 00:53.86]  it covers only fifty-four kilometer.
[00:54.26 -> 00:58.40]  So the distance not covered due to stoppages is seventy-two minus fifty-four.
[00:58.88 -> 01:05.06]  That gives us eighteen kilometer. Now, this eighteen kilometer is the distance lost because the train was not moving.
[01:05.56 -> 01:12.08]  So we need to find how much time the train would take to cover eighteen kilometers at its actual running speed.
[01:12.58 -> 01:16.36]  The actual running speed is seventy-two kilometer per hour.
[01:16.82 -> 01:19.54]  So time lost will be distance divided by speed.
[01:20.02 -> 01:26.52]  That means time lost will be eighteen divided by seventy-two hours. After simplifying this, we get one by four hour.
[01:27.02 -> 01:32.14]  Now, one by four hour means fifteen minutes. Hence, the train stops for fifteen minutes per hour.
