[00:00.12 -> 00:00.30]  So
[00:00.68 -> 00:01.24]  welcome back.
[00:01.68 -> 00:04.24]  I hope you have gone through the theory part for this topic.
[00:04.90 -> 00:06.54]  Now it's time to solve some problems.
[00:07.08 -> 00:07.86]  Now in this problem,
[00:08.50 -> 00:10.08]  Alex is the father of Neha,
[00:10.72 -> 00:11.26]  and Neha
[00:11.84 -> 00:12.92]  is the sister of John.
[00:13.76 -> 00:17.08]  The question is asking us to find how Alex is related to John.
[00:17.90 -> 00:19.46]  Here we are sure about one fact,
[00:19.98 -> 00:23.22]  Neha and John are brother and sister or siblings.
[00:23.76 -> 00:25.24]  So if Alex is Neha's father,
[00:25.74 -> 00:27.86]  then Alex will also be John's father.
[00:28.34 -> 00:30.12]  There is no need to make it complicated here.
[00:30.68 -> 00:32.24]  Same father, same family relation.
[00:32.94 -> 00:33.40]  Hence,
[00:33.94 -> 00:35.36]  Alex is related to John as
[00:36.00 -> 00:36.42]  father.
[00:37.16 -> 00:38.78]  So the final answer will be option A,
[00:39.28 -> 00:39.70]  father.
