[00:00.12 → 00:00.26]  So
[00:00.82 → 00:01.66]  welcome back again.
[00:02.24 → 00:03.36]  Time for one more problem.
[00:03.94 → 00:04.70]  Now in this problem,
[00:05.26 → 00:07.00]  Alex is traveling in two parts.
[00:07.64 → 00:08.48]  In the first part,
[00:08.90 → 00:11.20]  he drives at fifty kilometer
[00:11.66 → 00:12.12]  per hour
[00:12.60 → 00:13.32]  for two hours.
[00:13.86 → 00:14.72]  In the second part,
[00:15.10 → 00:15.90]  because of traffic,
[00:16.34 → 00:18.42]  he drives at forty kilometer per hour
[00:18.84 → 00:19.64]  for three hours.
[00:20.10 → 00:24.18]  The question is asking us to find the total distance traveled by Alex.
[00:24.70 → 00:26.20]  Now we know one simple formula,
[00:26.88 → 00:28.84]  distance equal to speed into time.
[00:29.44 → 00:29.98]  So first,
[00:30.34 → 00:32.18]  let us find the distance in the first part.
[00:32.72 → 00:36.18]  In first part, speed is fifty and time is two hours.
[00:36.60 → 00:38.60]  So distance will be fifty into two,
[00:39.14 → 00:40.16]  which is one hundred
[00:40.48 → 00:41.26]  kilometer.
[00:41.84 → 00:42.22]  Next,
[00:42.56 → 00:44.36]  find the distance in the second part.
[00:44.90 → 00:47.66]  Now in second part, speed is forty and time is three hours.
[00:48.24 → 00:49.92]  So distance will be forty into three,
[00:50.36 → 00:52.32]  which is one hundred twenty kilometer.
[00:53.10 → 00:54.46]  Now we have both distances.
[00:54.96 → 01:00.88]  In first part it is one hundred kilometer, and in second part it's one hundred twenty kilometer.
[01:02.04 → 01:04.18]  Since the question asks for total distance,
[01:04.78 → 01:05.74]  we need to add both,
[01:06.64 → 01:08.72]  one hundred plus one hundred twenty
[01:09.58 → 01:14.18]  equals two hundred twenty kilometers. So the final answer will be two hundred twenty kilometers.
[01:14.76 → 01:17.00]  So the correct answer is option C.
