[00:00.10 -> 00:00.26]  So
[00:00.68 -> 00:01.36]  welcome back again.
[00:01.84 -> 00:02.90]  Time for one more problem.
[00:03.28 -> 00:06.64]  Now, in this problem, we are given that the speed of the boat in still water
[00:07.14 -> 00:08.76]  is 18 kilometers per hour.
[00:09.30 -> 00:11.66]  The speed of the stream is three kilometers per hour.
[00:12.16 -> 00:13.54]  The boat has to travel
[00:13.88 -> 00:15.38]  84 kilometers downstream.
[00:15.80 -> 00:18.80]  The question is asking us to find the time taken for this journey.
[00:19.16 -> 00:20.68]  Now, before solving the problem,
[00:21.16 -> 00:22.38]  let us understand this.
[00:22.74 -> 00:26.90]  When a boat moves downstream, it moves in the same direction as the flowing water.
[00:27.32 -> 00:30.10]  Because both the boat and the stream are moving in the same direction,
[00:30.50 -> 00:32.54]  the stream helps the boat move faster.
[00:32.94 -> 00:34.28]  So for downstream movement,
[00:34.62 -> 00:35.48]  we always
[00:35.90 -> 00:38.80]  add the speed of the stream to the speed of the boat.
[00:39.24 -> 00:40.72]  Be very sure about this rule.
[00:41.28 -> 00:44.62]  Downstream speed is equal to speed of boat in still water plus
[00:44.98 -> 00:45.72]  speed of stream.
[00:46.12 -> 00:47.78]  Now let us find the downstream speed.
[00:48.26 -> 00:52.78]  Downstream speed is equal to 18 plus three. This gives us
[00:53.12 -> 00:54.62]  21 kilometers per hour.
[00:55.08 -> 00:56.36]  Now this part is completed.
[00:56.86 -> 00:58.92]  Since we know the distance and the speed,
[00:59.54 -> 01:01.84]  we can find the time. We know the formula.
[01:02.38 -> 01:04.98]  Time is equal to distance divided by speed.
[01:05.46 -> 01:06.42]  Putting the values,
[01:06.90 -> 01:09.46]  time is equal to 84 divided by 21.
[01:09.90 -> 01:11.72]  After simplifying this, we get four hours.
[01:12.06 -> 01:16.02]  So the boat will take four hours to travel 84 kilometers downstream.
[01:16.34 -> 01:16.70]  Hence,
[01:17.10 -> 01:19.22]  the correct answer is option D.
