[00:00.12 -> 00:00.26]  So
[00:00.92 -> 00:01.84]  welcome back again.
[00:02.44 -> 00:03.56]  Time for one more problem.
[00:04.00 -> 00:05.50]  Now in this problem, we are given that
[00:05.92 -> 00:08.18]  a train crosses a two-kilometer-long tunnel
[00:08.68 -> 00:10.22]  in three minutes, 20 seconds.
[00:10.74 -> 00:11.42]  The question is
[00:11.98 -> 00:15.24]  asking us to find the speed of the train in kilometer
[00:15.72 -> 00:16.22]  per hour.
[00:16.76 -> 00:18.94]  So the total distance covered is two kilometer,
[00:19.48 -> 00:22.88]  but the time is given in minutes and seconds.
[00:23.64 -> 00:25.84]  Since the speed is asked in kilometer per hour,
[00:26.32 -> 00:28.88]  we first need to convert the time into hours.
[00:29.56 -> 00:31.32]  Three minutes, 20 seconds means
[00:31.82 -> 00:34.00]  three minutes is equal to three into
[00:34.36 -> 00:34.50]  60,
[00:35.10 -> 00:36.68]  which is 180 seconds.
[00:37.18 -> 00:38.98]  Adding the remaining 20 seconds, we get
[00:39.66 -> 00:40.48]  180 plus
[00:40.78 -> 00:40.94]  20,
[00:41.38 -> 00:42.60]  which is 200 seconds.
[00:42.94 -> 00:46.16]  Now we know that one hour is equal to
[00:46.50 -> 00:48.28]  3,600 seconds.
[00:48.68 -> 00:51.54]  So to convert seconds into hours, we divide by
[00:51.94 -> 00:56.88]  3,600. Therefore, 200 seconds is equal to 200 divided by
[00:57.30 -> 00:58.86]  3,600 hours.
[00:59.36 -> 01:00.54]  After simplifying this,
[01:00.96 -> 01:02.56]  we get one by 18 hour.
[01:03.04 -> 01:04.10]  Now we know the formula.
[01:04.52 -> 01:07.00]  Speed is equal to distance divided by time.
[01:07.42 -> 01:11.94]  Putting the values, speed is equal to two divided by one by 18.
[01:12.56 -> 01:13.70]  After simplifying this,
[01:14.16 -> 01:18.72]  we get 36 kilometer per hour. So the speed of the train is
[01:19.28 -> 01:20.72]  36 kilometer per hour.
[01:21.30 -> 01:23.68]  Hence, the correct answer is option C.
