[00:00.10 -> 00:01.14]  So welcome back.
[00:01.48 -> 00:04.08]  I hope you have gone through the theory part for this topic.
[00:04.44 -> 00:05.98]  Now it's time to solve some problems.
[00:06.38 -> 00:08.00]  Now, in this problem, we are given that
[00:08.34 -> 00:09.36]  the speed of a train is
[00:09.80 -> 00:11.28]  seventy-two kilometer per hour.
[00:11.88 -> 00:15.64]  The question is asking us to convert the speed into meter per second.
[00:16.06 -> 00:19.76]  Now, before solving, let us recall one basic conversion.
[00:20.22 -> 00:25.62]  We know that one kilometer per hour is equal to five by eighteen meters per second.
[00:26.18 -> 00:28.78]  This is a direct formula-based question.
[00:29.20 -> 00:32.56]  So we simply multiply the given speed by five by eighteen.
[00:33.04 -> 00:39.00]  Speed in meters per second is equal to speed in kilometers per hour into five by eighteen.
[00:39.36 -> 00:40.72]  Now, putting the given value,
[00:41.10 -> 00:43.84]  speed is equal to seventy-two into five by eighteen.
[00:44.20 -> 00:45.24]  After simplifying this,
[00:45.56 -> 00:50.96]  seventy-two divided by eighteen becomes four. So we get four into five, which is twenty.
[00:51.28 -> 00:55.10]  Hence, the speed of the train is twenty meter per second.
[00:55.42 -> 00:58.06]  So the final answer is twenty meter per second.
[00:58.50 -> 01:00.82]  Hence, the correct option is option A.
