[00:00.10 -> 00:01.02]  So welcome back again.
[00:01.46 -> 00:02.54]  Time for one more problem.
[00:02.98 -> 00:07.20]  Now in this problem, we are given that if a man drives five kilometer per hour
[00:07.64 -> 00:09.59]  faster, he saves one hour,
[00:10.12 -> 00:12.00]  and if he drives five kilometer per hour
[00:12.48 -> 00:12.82]  slower,
[00:13.38 -> 00:14.52]  he loses two hours.
[00:15.04 -> 00:15.72]  The question is
[00:16.22 -> 00:19.04]  asking us to find the total distance traveled.
[00:19.40 -> 00:21.50]  Let the original speed be X kilometer
[00:21.96 -> 00:22.42]  per hour,
[00:22.88 -> 00:24.68]  and let the original time be T hours.
[00:25.18 -> 00:25.54]  Since
[00:26.08 -> 00:27.96]  distance is equal to speed into time,
[00:28.48 -> 00:29.96]  the original distance is
[00:30.32 -> 00:31.02]  X into T.
[00:31.44 -> 00:33.18]  Now, let us use the first condition.
[00:33.53 -> 00:35.18]  If the speed increases by five,
[00:35.52 -> 00:36.92]  the time decreases by one.
[00:37.50 -> 00:37.70]  So
[00:38.26 -> 00:40.22]  new speed is equal to X plus five.
[00:40.66 -> 00:42.42]  New time is equal to T minus one.
[00:42.82 -> 00:45.70]  So the new distance becomes X plus five
[00:46.22 -> 00:48.35]  into T minus one. But remember,
[00:48.76 -> 00:50.21]  the distance remains the same,
[00:50.62 -> 00:53.34]  so XT is equal to X plus five T minus one.
[00:54.08 -> 00:55.76]  After expanding and simplifying,
[00:56.28 -> 00:58.30]  we get X is equal to five
[00:58.78 -> 00:59.58]  T minus five.
[01:00.04 -> 01:01.58]  Now, let us use the second condition.
[01:02.10 -> 01:03.66]  If the speed decreases by five,
[01:04.16 -> 01:05.30]  the time increases by two.
[01:05.92 -> 01:07.66]  So new speed is X minus five.
[01:08.22 -> 01:09.48]  New time is T plus two.
[01:10.24 -> 01:15.26]  Again, the distance remains the same, so XT is equal to X minus five
[01:15.68 -> 01:16.34]  T plus two.
[01:17.02 -> 01:18.93]  After expanding and simplifying, we get
[01:19.40 -> 01:21.36]  two X is equal to five T plus 10.
[01:21.78 -> 01:24.60]  Now, we already know that X is equal to five T minus five.
[01:25.06 -> 01:27.87]  Putting this value into the second equation and solving,
[01:28.28 -> 01:30.58]  we get T is equal to four hours.
[01:31.12 -> 01:36.24]  Now from the first equation, X equals five T minus five and T is four, so X equals five times four minus five,
[01:36.62 -> 01:39.11]  which gives us X is equal to 15 kilometers per hour.
[01:39.52 -> 01:41.63]  Finally, distance is equal to speed into time,
[01:42.02 -> 01:44.56]  and speed equal to X, which is 15 kilometer per hour,
[01:44.92 -> 01:46.18]  and time equal to four hours.
[01:46.64 -> 01:48.52]  So distance is equal to 15 into four,
[01:48.86 -> 01:50.16]  which is 60 kilometer.
[01:50.70 -> 01:53.16]  Hence, the correct answer is option B.
