[00:00.10 → 00:00.96]  So welcome back again.
[00:01.32 → 00:02.36]  Time for one more problem.
[00:02.90 → 00:08.84]  Now in this problem, we are given that the speed of the bus without stoppages is sixty kilometer per hour,
[00:09.36 → 00:10.50]  but including stoppages,
[00:10.96 → 00:13.48]  its average speed becomes forty-five kilometer per hour.
[00:14.02 → 00:14.72]  The question is
[00:15.22 → 00:17.96]  asking us to find how many minutes the bus stops
[00:18.42 → 00:19.46]  in every one hour.
[00:19.80 → 00:21.96]  Now let us think about it in a very simple way.
[00:22.52 → 00:25.04]  Suppose the bus keeps moving continuously for one hour
[00:25.54 → 00:26.58]  without any stop.
[00:27.16 → 00:29.04]  At a speed of sixty kilometer per hour,
[00:29.56 → 00:31.20]  it will cover sixty kilometer.
[00:31.50 → 00:31.88]  Correct?
[00:32.34 → 00:33.70]  Now look at the second condition.
[00:34.14 → 00:38.88]  Including stoppages, the average speed is only forty-five kilometer per hour.
[00:39.34 → 00:43.96]  That means in one hour of clock time, the bus covers only forty-five kilometer.
[00:44.30 → 00:45.72]  Now compare these two distances.
[00:46.02 → 00:56.32]  Without stopping, it could have covered sixty kilometer, but because of stoppages, it covered only forty-five kilometer. So the bus missed covering fifteen kilometer.
[00:56.88 → 00:57.30]  Got it?
[00:58.16 → 00:58.56]  Perfect.
[00:59.18 → 01:00.42]  Now ask yourself one question.
[01:00.90 → 01:11.02]  If the bus is moving at sixty kilometer per hour, how much time does it take to cover fifteen kilometer? We know time is equal to distance divided by speed.
[01:11.58 → 01:14.82]  So time is equal to fifteen divided by sixty hours.
[01:15.56 → 01:16.68]  After simplifying this,
[01:17.02 → 01:18.26]  we get one quarter hour,
[01:18.72 → 01:21.52]  and one quarter hour is equal to fifteen minutes.
[01:21.94 → 01:26.62]  So this fifteen minutes is the time for which the bus was standing still in every one hour.
[01:27.06 → 01:33.12]  Hence, the bus stops for fifteen minutes per hour. So the correct answer is option B.
