[00:00.12 - 00:00.28]  So
[00:00.96 - 00:01.84]  welcome back again.
[00:02.38 - 00:04.04]  It's time to solve one more problem.
[00:04.52 - 00:05.26]  Now, in this problem,
[00:05.70 - 00:06.16]  a boat
[00:06.50 - 00:07.06]  travels
[00:07.62 - 00:08.32]  twenty-four
[00:08.92 - 00:09.54]  kilometer
[00:10.14 - 00:12.06]  upstream at eight kilometers per hour
[00:12.58 - 00:16.36]  and then thirty-six kilometer downstream at twelve kilometers per hour.
[00:16.84 - 00:17.76]  The question is
[00:18.28 - 00:20.18]  asking us to find the total time
[00:20.60 - 00:21.98]  taken for the whole journey.
[00:22.38 - 00:23.70]  Now, the important point here is
[00:24.18 - 00:26.26]  that the journey has two different parts.
[00:26.64 - 00:29.42]  One part is upstream and the other part is downstream.
[00:29.80 - 00:32.62]  So we cannot calculate the total time directly.
[00:32.96 - 00:36.70]  We first find the time for each part separately and then add them.
[00:37.48 - 00:42.24]  Given upstream distance equals twenty-four kilometer, upstream speed equals eight kilometers per hour.
[00:42.74 - 00:47.38]  Downstream distance equals thirty-six kilometer, downstream speed equals twelve kilometers per hour.
[00:48.02 - 00:49.46]  Now we know the formula for time.
[00:50.02 - 00:52.06]  Time equals distance divided by speed.
[00:52.50 - 00:54.08]  So let us use this formula one by one.
[00:54.58 - 00:54.90]  First,
[00:55.30 - 00:59.56]  the time taken upstream. Time equals twenty-four divided by eight equals three hours.
[00:59.98 - 01:00.24]  Done.
[01:00.76 - 01:02.48]  Now let us move to the downstream journey.
[01:02.90 - 01:11.24]  Time equals thirty-six divided by twelve equals three hours. Now that both parts are clear, we simply add them because the boat completes both journeys one after the other.
[01:11.92 - 01:14.82]  Total time equals three plus three equals six hours.
[01:15.70 - 01:18.44]  Hence, the total time taken is six hours.
[01:18.82 - 01:21.24]  So the correct option is option C.
