[00:00.10 to 00:01.68]  So welcome back again.
[00:02.00 to 00:03.08]  Time for one more problem.
[00:03.58 to 00:07.62]  Now, in this problem, we are given that a bus is already forty-five kilometer ahead of a car.
[00:08.14 to 00:10.70]  The speed of the car is seventy-five kilometer per hour.
[00:11.14 to 00:13.90]  The speed of the bus is sixty kilometer per hour.
[00:14.44 to 00:23.64]  The question is asking us to find how long the car will take to catch the bus. Now, let us understand one important concept. The bus is already moving and the car is chasing it, so every hour,
[00:24.04 to 00:25.46]  both of them keep moving forward.
[00:25.76 to 00:26.40]  In one hour,
[00:26.72 to 00:29.24]  the car travels seventy-five kilometer.
[00:29.64 to 00:31.22]  The bus travels sixty kilometer.
[00:31.56 to 00:36.22]  So the actual gap reduces by seventy-five minus sixty, which is fifteen kilometer every hour.
[00:36.82 to 00:38.88]  This is called the relative speed.
[00:39.46 to 00:43.18]  Relative speed is equal to car speed minus bus' speed.
[00:43.68 to 00:45.84]  That is seventy-five minus sixty,
[00:46.26 to 00:47.80]  which is fifteen kilometers per hour.
[00:48.12 to 00:49.36]  Now, be very sure about one thing.
[00:49.88 to 00:51.90]  The initial gap is forty-five kilometers.
[00:52.40 to 00:57.30]  Every hour, the car reduces only fifteen kilometer of that gap. So in one hour,
[00:57.62 to 00:59.48]  the gap reduces by fifteen kilometer.
[00:59.84 to 01:01.60]  To reduce a gap of one kilometer,
[01:01.96 to 01:03.66]  it takes one by fifteen hour.
[01:04.16 to 01:10.02]  Since the total gap is forty-five kilometer, the time taken will be forty-five into one by fifteen.
[01:10.44 to 01:14.80]  After simplifying this, we get three hours, so the car will catch the bus after three hours.
[01:15.14 to 01:17.54]  Hence, the correct answer is option A.
